MO_Name;Weekday;Hour;Provider;Number
Бутырский;пн;3.0;1;0.49546926747041226
Тверской;пн;3.0;1;0.40250548147884574
Чертаново Северное;пн;3.0;1;0.4321804266036335
Якиманка;пн;3.0;1;0.2786081168083438
Котловка;пн;3.0;1;0.20135024541920288
Останкинский;пн;3.0;1;0.13519279149262656
Донской;пн;3.0;1;0.4549659861034692
Бибирево;пн;3.0;1;0.49861862711162386
Бирюлёво Западное;пн;3.0;1;0.22189960510452122
Марьина Роща;пн;3.0;1;0.49465383864959345
Нагорный;пн;3.0;1;0.3714290487985991
Свиблово;пн;3.0;1;0.7215610738887647
Даниловский;пн;3.0;1;0.2786870502927805
Мещанский;пн;3.0;1;0.5525715425897908
Южное Медведково;пн;3.0;1;0.4805987620528789
Замоскворечье;пн;3.0;1;0.6672782410690442
Северное Медведково;пн;3.0;1;0.6245246211933834
Нагатино-Садовники;пн;3.0;1;0.3578532628153362
Москворечье-Сабурово;пн;3.0;1;0.27593300489009925
Царицыно;пн;3.0;1;0.389022207159702
Басманный;пн;3.0;1;0.7434249034961753
Красносельский;пн;3.0;1;0.4284099173853039
Ростокино;пн;3.0;1;0.3563187861155607
Таганский;пн;3.0;1;0.5077780612244416
Алексеевский;пн;3.0;1;0.5103816136827446
Сокольники;пн;3.0;1;0.3540696396963577
Бирюлёво Восточное;пн;3.0;1;0.20556185865732504
Бабушкинский;пн;3.0;1;0.3786545270006406
Южнопортовый;пн;3.0;1;0.5069805245548412
Ярославский;пн;3.0;1;0.22383666422779142
Печатники;пн;3.0;1;0.17452910958538925
Богородское;пн;3.0;1;0.5557241796135809
Метрогородок;пн;3.0;1;0.048682630767341716
Лефортово;пн;3.0;1;0.40708394929140185
Орехово-Борисово Северное;пн;3.0;1;0.3359249362741678
Лосиноостровский;пн;3.0;1;0.4144058609834319
Нижегородский;пн;3.0;1;0.3913354599892849
Перово;пн;3.0;1;0.2964611176670258
Орехово-Борисово Южное;пн;3.0;1;0.27729549316205815
Марьино;пн;3.0;1;0.3504143822501917
Вешняки;пн;3.0;1;0.29767494039096015
Преображенское;пн;3.0;1;0.5589918403660108
Соколиная Гора;пн;3.0;1;0.3162024390305449
Люблино;пн;3.0;1;0.1658470203788727
Текстильщики;пн;3.0;1;0.26097184003989105
Братеево;пн;3.0;1;0.37904851974229914
Зябликово;пн;3.0;1;0.3702756605683134
Рязанский;пн;3.0;1;0.3232623197979716
Измайлово;пн;3.0;1;0.17799850252349428
